,Port Returns,Port Risk,Sharpe Ratio,Portfolio Weights
0,0.7137979179784649,0.7196998440040278,0.9917994618524194,[0.31869007 0.32355074 0.35775919]
1,0.7400327367554013,0.7928845016765094,0.9333424164435602,[0.11235013 0.35953188 0.52811799]
2,0.721321397388416,0.7381855675389418,0.9771545653395125,[0.26395706 0.32917337 0.40686957]
3,0.700228911283693,0.7042201376936901,0.9943324165323243,[0.34832566 0.38646821 0.26520612]
4,0.7058504204285045,0.7055647938314036,1.000404819797697,[0.35752668 0.33768589 0.30478743]
5,0.7312292734595874,0.7723697066171327,0.9467347918942415,[0.15736622 0.37307771 0.46955607]
6,0.7314017233524873,0.805025738506774,0.9085445202151544,[0.02696142 0.50979757 0.46324102]
7,0.728770213606526,0.7352413991106437,0.9911985566754739,[0.31473973 0.22371991 0.46154036]
8,0.7407105080268193,0.7373662347048225,1.0045354305155232,[0.3874043 0.0639227 0.548673 ]
9,0.6658166100214095,0.674531529498908,0.9870800413377672,[0.46385219 0.50333943 0.03280838]
10,0.7057497078165982,0.7257622405646383,0.9724254974570314,[0.26648864 0.43466854 0.29884283]
11,0.7191286859715458,0.735002477161128,0.9784030779720728,[0.26929349 0.33876171 0.39194481]
12,0.7032641830018499,0.7268991079670967,0.9674852744951826,[0.25587879 0.46315596 0.28096525]
13,0.7093309852456848,0.6970386042209606,1.0176351509805726,[0.41208649 0.25580412 0.33210939]
14,0.6779013251428371,0.6974011587595604,0.9720392870418986,[0.35401817 0.53555185 0.11042998]
15,0.6867282459338729,0.6814767480904259,1.0077060557945114,[0.43049407 0.39335155 0.17615438]
16,0.7158818790809349,0.7396379406122127,0.9678814995460964,[0.2367672  0.39571667 0.36751612]
17,0.6843745730896968,0.6971266425070489,0.9817076716914844,[0.35674803 0.4876967  0.15555527]
18,0.7201470381007471,0.7668845469549979,0.9390553518911975,[0.13770905 0.47085289 0.39143806]
19,0.6875329098664619,0.6905447510299308,0.9956384562202857,[0.38886209 0.43179228 0.17934563]
20,0.696674648957959,0.7386529027026508,0.9431691751415341,[0.19726597 0.57092147 0.23181255]
21,0.724427672194471,0.6894197163937993,1.0507788723882028,[0.55062884 0.00440705 0.44496411]
22,0.7816013011408502,0.8593857397715096,0.9094883298257423,[0.10795967 0.07540896 0.81663137]
23,0.7082181250214209,0.7392030323428163,0.958083360097709,[0.21619104 0.47071646 0.3130925 ]
24,0.6674167737257795,0.6751753653966929,0.9885087755440323,[0.45902875 0.49732483 0.04364642]
25,0.6763805679723743,0.6925263491930446,0.9766856795564763,[0.37531816 0.52358901 0.10109282]
26,0.7391657730260363,0.7383068970112513,1.0011633048780417,[0.36916206 0.09394681 0.53689113]
27,0.7153920228779429,0.7307310016788772,0.979008720355791,[0.27418487 0.35954617 0.36626896]
28,0.7627693635335342,0.8051257460769159,0.9473915934873913,[0.20949302 0.09884668 0.6916603 ]
29,0.7022452717090224,0.680222803553712,1.0323753747158397,[0.47356713 0.24000406 0.28642881]
30,0.7452539255263748,0.8261178682347802,0.9021157321276774,[0.00240127 0.43954494 0.55805378]
31,0.6678507872144085,0.6996597620917583,0.9545365095996786,[0.35092701 0.60863965 0.04043334]
32,0.689564022250321,0.7024688741742976,0.981629290067627,[0.33780449 0.47168183 0.19051367]
33,0.7223613559047166,0.7784919277350859,0.9278983251712405,[0.09884371 0.49657507 0.40458122]
34,0.7077821590895919,0.7169601830659629,0.9871986977894327,[0.31077957 0.37370694 0.31551349]
35,0.6795913005959906,0.7021538336114018,0.9678666811525263,[0.33375544 0.54524214 0.12100242]
36,0.732980906525567,0.7332181335360454,0.9996764577966255,[0.35136049 0.1557387  0.49290082]
37,0.7120190076862374,0.7290088601058874,0.9766945871999659,[0.27027637 0.38711133 0.34261229]
38,0.7154637866514266,0.7932921139646689,0.9018919689945278,[0.02491186 0.62268203 0.35240611]
39,0.7650905066009358,0.8223873015025032,0.9303286969571563,[0.14281914 0.15323745 0.70394341]
40,0.7331558447583281,0.7274141335535782,1.0078933181799759,[0.38422799 0.11976234 0.49600967]
41,0.6914908704330679,0.7276681376383926,0.9502832880346582,[0.23502733 0.56699497 0.1979777 ]
42,0.7052376178491937,0.677991005166364,1.0401872775231642,[0.49816616 0.19320073 0.30863311]
43,0.6649273300216233,0.6460560826336796,1.0292099213910564,[0.61213499 0.35269121 0.0351738 ]
44,0.6601911900161465,0.6418991456356625,1.0284967576368553,[0.64346848 0.35245327 0.00407825]
45,0.7147226918111352,0.6929307955338576,1.0314488783262814,[0.4599014  0.16777963 0.37231898]
46,0.6834457450374206,0.6631684147858353,1.0305764415184546,[0.51932529 0.3222052  0.15846951]
47,0.6960548281410318,0.6946771049963973,1.001983256875353,[0.38323452 0.37854446 0.23822103]
48,0.6717390778139422,0.7354166882879946,0.9134128834874689,[0.20704465 0.73380054 0.05915481]
49,0.7269172177084389,0.7484156271402829,0.9712747721289706,[0.24263116 0.31285516 0.44451367]
50,0.7619887932915097,0.7974562559660936,0.9555242530117014,[0.24283501 0.06900619 0.68815881]
51,0.7037938135347739,0.7526112647100441,0.9351359015413117,[0.15370531 0.56753676 0.27875793]
52,0.6856664302575413,0.6624083395836279,1.0351114098118583,[0.5266603  0.29902106 0.17431864]
53,0.6834563322750961,0.673423524057166,1.0148982146591576,[0.46633595 0.37817387 0.15549018]
54,0.7286332063852273,0.7775908300991013,0.9370393504928105,[0.12472226 0.42563661 0.44964113]
55,0.7107886963444314,0.7360308148902884,0.9657050791418026,[0.23625162 0.43164302 0.33210536]
56,0.6671316029514089,0.7205272489926309,0.9258936478587391,[0.26846022 0.70085359 0.03068618]
57,0.6797240977534901,0.7245403390549336,0.9381452779290379,[0.24340749 0.63987281 0.1167197 ]
58,0.724989900351385,0.7214932949064343,1.0048463450313896,[0.36289447 0.1990517  0.43805382]
59,0.7483844430812143,0.7796344555176673,0.9599170967685062,[0.22251018 0.18500797 0.59248184]
60,0.7203556531844922,0.748658715943733,0.9621949732815668,[0.21391923 0.38880281 0.39727796]
61,0.6885774396774055,0.7040436583568831,0.9780323016962142,[0.32997043 0.48682078 0.18320879]
62,0.7094261827979048,0.724391640430015,0.9793406538716731,[0.28254812 0.39214427 0.32530761]
63,0.6660035709097821,0.6274507748888637,1.0614435387823802,[0.73260679 0.21780228 0.04959092]
64,0.6681295677678333,0.6293995492902164,1.0615348684651797,[0.71741644 0.21909904 0.06348452]
65,0.7599485322743752,0.8054452114818904,0.9435136263038816,[0.1838724  0.14553898 0.67058861]
66,0.6639826412990052,0.6744636434728399,0.9844602414447906,[0.46660144 0.5131719  0.02022666]
67,0.7268807306294937,0.7282356006589005,0.9981395168978543,[0.3391361  0.21104375 0.44982015]
68,0.6921177951707249,0.693975915495163,0.9973225002727764,[0.3792508  0.41010727 0.21064194]
69,0.7187231055776795,0.7442903911323452,0.9656487765269034,[0.22670566 0.38662061 0.38667373]
70,0.6654265817138645,0.6476601405363251,1.0274317347410433,[0.60236245 0.3595586  0.03807895]
71,0.710433229504584,0.6685567510637089,1.0626371334583748,[0.58624964 0.06394989 0.34980047]
72,0.6907826248300755,0.6678823259559737,1.0342879246599666,[0.50670274 0.28458752 0.20870974]
73,0.6791898029297122,0.6737313933846062,1.0081017592451567,[0.46192826 0.412474   0.12559774]
74,0.6769621266258649,0.6840455521706352,0.9896448043229095,[0.41300585 0.47969009 0.10730406]
75,0.7316238687345649,0.7832543042725428,0.9340821553659633,[0.11372598 0.41649104 0.46978297]
76,0.7317995091001217,0.786458121506416,0.9305002886846678,[0.10141284 0.42829345 0.47029371]
77,0.6715371876982392,0.6610789171531848,1.0158200031398537,[0.52526133 0.39865291 0.07608576]
78,0.7162622854480057,0.7650045937339407,0.9362849469334207,[0.13355425 0.50223346 0.3642123 ]
79,0.683398710912387,0.6969482843704952,0.9805587103635006,[0.35699715 0.49421229 0.14879056]
80,0.7115941430769942,0.7688576897316411,0.925521266913993,[0.10698855 0.56275809 0.33025336]
81,0.6968555451975997,0.694469228341625,1.0034361736396489,[0.38593735 0.37012353 0.24393912]
82,0.6817224161099298,0.6516439296453397,1.046157855688091,[0.58190922 0.26798715 0.15010363]
83,0.6716481712024457,0.6688742963739143,1.0041470794192109,[0.48594829 0.43945992 0.07459179]
84,0.720101225653302,0.7171353616322935,1.0041357101876245,[0.35883496 0.23730549 0.40385955]
85,0.7193908969477817,0.7899003271510853,0.910736294466913,[0.04677727 0.57227625 0.38094649]
86,0.6905502066754615,0.6751022739633111,1.022882359174204,[0.4680844  0.32704533 0.20487027]
87,0.6741644807254112,0.6513485131340018,1.0350288165726043,[0.57767668 0.32496661 0.09735671]
88,0.725536825654805,0.785550335983283,0.9236032274706389,[0.08167672 0.49267192 0.42565137]
89,0.7152188216402166,0.7056711282572545,1.0135299475926431,[0.39352135 0.23453754 0.37194111]
90,0.6922680587329678,0.7006484516479062,0.9880390902238805,[0.34925946 0.44078265 0.20995789]
91,0.6977404201792075,0.7506110856260393,0.9295631699833802,[0.15263217 0.61072313 0.23664471]
92,0.6810926672319082,0.6859720430074966,0.9928869174402563,[0.40495946 0.45950623 0.13553431]
93,0.7117711974660925,0.7483190753464184,0.9511600344232748,[0.18801773 0.47583062 0.33615165]
